rank,email,brand,score,description
3,unmxafzqwv@outlook.com,Birkenstock,1,secondary
1,uishrnxlzx@gmail.com,Converse,1,primary
1,xafxpwkhwo@gmail.com,Converse,1,primary
2,xafxpwkhwo@gmail.com,Birkenstock,1,secondary
1,eqsyeqzmuq@outlook.com,Gabor,2,primary
2,eqsyeqzmuq@outlook.com,Dr. Martens,1,secondary
3,eqsyeqzmuq@outlook.com,Ara,1,secondary
1,rnbbbawqiu@yahoo.com,Timberland,3,primary
2,rnbbbawqiu@yahoo.com,Ecco,2,secondary
3,rnbbbawqiu@yahoo.com,Dr. Martens,2,secondary
1,oehxqjhjqx@outlook.com,Timberland,3,primary
2,oehxqjhjqx@outlook.com,Ecco,2,secondary
3,oehxqjhjqx@outlook.com,Hugo Boss,1,secondary
1,swpyhkxblx@yahoo.com,Ara,2,primary
2,swpyhkxblx@yahoo.com,Van Lier,1,secondary
1,dangqebbul@outlook.com,Skechers,3,primary
2,dangqebbul@outlook.com,Timberland,1,secondary
3,dangqebbul@outlook.com,Kipling,1,secondary
1,mymfgiromd@gmail.com,Mexx,1,primary
2,mymfgiromd@gmail.com,Converse,1,secondary
1,pylvxvcipv@outlook.com,Ara,1,primary
1,fuevknnibj@hotmail.com,Ara,1,primary
1,xguoujwliv@outlook.com,Ara,2,primary
2,xguoujwliv@outlook.com,Timberland,1,secondary
3,xguoujwliv@outlook.com,Hugo Boss,1,secondary
1,qddqvddlha@hotmail.com,Skechers,4,primary
2,qddqvddlha@hotmail.com,Timberland,1,secondary
3,qddqvddlha@hotmail.com,Maruti,1,secondary
1,blabpewhnh@outlook.com,Timberland,2,primary
2,blabpewhnh@outlook.com,Skechers,1,secondary
3,blabpewhnh@outlook.com,Mexx,1,secondary
1,fjfzkmjdcc@outlook.com,Timberland,3,primary
2,fjfzkmjdcc@outlook.com,Dr. Martens,2,secondary
3,fjfzkmjdcc@outlook.com,Ara,2,secondary
1,xunvjbcjch@hotmail.com,Skechers,1,primary
2,xunvjbcjch@hotmail.com,Gabor,1,secondary
3,xunvjbcjch@hotmail.com,Ecco,1,secondary
1,znmqongzpw@gmail.com,Skechers,2,primary
2,znmqongzpw@gmail.com,Van Lier,1,secondary
3,znmqongzpw@gmail.com,Timberland,1,secondary
1,ywxldqwfib@yahoo.com,Birkenstock,2,primary
2,ywxldqwfib@yahoo.com,Timberland,1,secondary
3,ywxldqwfib@yahoo.com,Maruti,1,secondary
1,iwnrtzadte@hotmail.com,Dr. Martens,2,primary
2,iwnrtzadte@hotmail.com,Timberland,1,secondary
3,iwnrtzadte@hotmail.com,Skechers,1,secondary
1,dpphgsausi@hotmail.com,Ecco,1,primary
1,lyibpkomrc@outlook.com,Skechers,2,primary
2,lyibpkomrc@outlook.com,La Strada,2,secondary
3,lyibpkomrc@outlook.com,Converse,2,secondary
1,jawfjhobbg@yahoo.com,Skechers,1,primary
2,jawfjhobbg@yahoo.com,Mexx,1,secondary
3,jawfjhobbg@yahoo.com,Maruti,1,secondary
1,jjabwyhzgg@hotmail.com,Converse,4,primary
2,jjabwyhzgg@hotmail.com,Birkenstock,2,secondary
3,jjabwyhzgg@hotmail.com,Timberland,1,secondary
1,mcxrymmxtv@yahoo.com,Skechers,1,primary
2,mcxrymmxtv@yahoo.com,Cruyff,1,secondary
1,htnuqesrgz@outlook.com,Mexx,1,primary
1,yluwalyrvr@yahoo.com,Skechers,1,primary
2,yluwalyrvr@yahoo.com,Gabor,1,secondary
3,yluwalyrvr@yahoo.com,Converse,1,secondary
1,xbaalsdweo@gmail.com,Maruti,1,primary
2,xbaalsdweo@gmail.com,Ecco,1,secondary
3,xbaalsdweo@gmail.com,Dr. Martens,1,secondary
1,gifjpmgmus@hotmail.com,Timberland,2,primary
2,gifjpmgmus@hotmail.com,Gabor,2,secondary
3,gifjpmgmus@hotmail.com,Ecco,2,secondary
1,afwxmrzvzp@hotmail.com,Skechers,2,primary
2,afwxmrzvzp@hotmail.com,Timberland,1,secondary
3,afwxmrzvzp@hotmail.com,Kipling,1,secondary
1,yrlqenoarv@yahoo.com,Skechers,2,primary
2,yrlqenoarv@yahoo.com,Ecco,2,secondary
3,yrlqenoarv@yahoo.com,Mexx,1,secondary
1,onxyqiiolp@yahoo.com,Ara,1,primary
1,kezxiiwvhe@yahoo.com,Ecco,2,primary
2,kezxiiwvhe@yahoo.com,Ara,2,secondary
3,kezxiiwvhe@yahoo.com,Van Lier,1,secondary
1,kcxptftjeu@hotmail.com,Van Lier,1,primary
2,kcxptftjeu@hotmail.com,Cruyff,1,secondary
1,zkcffgrnzn@gmail.com,Guess,3,primary
2,zkcffgrnzn@gmail.com,Birkenstock,2,secondary
3,zkcffgrnzn@gmail.com,Ara,2,secondary
1,zgrksmupjo@hotmail.com,Skechers,1,primary
2,zgrksmupjo@hotmail.com,Gabor,1,secondary
3,zgrksmupjo@hotmail.com,Ecco,1,secondary
1,fhyqxteomc@gmail.com,Skechers,3,primary
2,fhyqxteomc@gmail.com,Gabor,2,secondary
3,fhyqxteomc@gmail.com,Ecco,2,secondary
1,peauvagzmt@yahoo.com,Dr. Martens,2,primary
2,peauvagzmt@yahoo.com,Ara,2,secondary
3,peauvagzmt@yahoo.com,Van Lier,1,secondary
1,drlzmjzrkr@outlook.com,Van Lier,1,primary
2,drlzmjzrkr@outlook.com,Timberland,1,secondary
3,drlzmjzrkr@outlook.com,Dr. Martens,1,secondary
1,ahyxpuyudk@hotmail.com,Skechers,2,primary
2,ahyxpuyudk@hotmail.com,Ecco,2,secondary
3,ahyxpuyudk@hotmail.com,Timberland,1,secondary
1,hesvzyeaba@outlook.com,Dr. Martens,2,primary
2,hesvzyeaba@outlook.com,Birkenstock,2,secondary
3,hesvzyeaba@outlook.com,Skechers,1,secondary
1,oyakisxzja@yahoo.com,Ara,3,primary
2,oyakisxzja@yahoo.com,Timberland,2,secondary
3,oyakisxzja@yahoo.com,Skechers,1,secondary
1,ouupbsahys@gmail.com,Timberland,1,primary
2,ouupbsahys@gmail.com,Skechers,1,secondary
3,ouupbsahys@gmail.com,Ecco,1,secondary
1,uilntmtfzy@yahoo.com,Ara,3,primary
2,uilntmtfzy@yahoo.com,Skechers,1,secondary
3,uilntmtfzy@yahoo.com,La Strada,1,secondary
1,pkefgcaizo@hotmail.com,Timberland,2,primary
2,pkefgcaizo@hotmail.com,La Strada,1,secondary
3,pkefgcaizo@hotmail.com,Guess,1,secondary
1,vkwigfwhyu@gmail.com,Ara,2,primary
2,vkwigfwhyu@gmail.com,Guess,1,secondary
1,kfbonaujgp@yahoo.com,Ara,3,primary
2,kfbonaujgp@yahoo.com,Converse,2,secondary
3,kfbonaujgp@yahoo.com,Kipling,1,secondary
1,bzntobzpau@gmail.com,Gabor,2,primary
2,bzntobzpau@gmail.com,Ecco,2,secondary
3,bzntobzpau@gmail.com,Timberland,1,secondary
1,xkhweslgui@gmail.com,Ara,1,primary
1,ybohbrdodt@outlook.com,Guess,1,primary
2,ybohbrdodt@outlook.com,Ara,1,secondary
1,jtlkqpufpr@yahoo.com,Ecco,2,primary
2,jtlkqpufpr@yahoo.com,Van Lier,1,secondary
3,jtlkqpufpr@yahoo.com,Skechers,1,secondary
1,fdvbjpqhek@outlook.com,Dr. Martens,2,primary
2,fdvbjpqhek@outlook.com,Timberland,1,secondary
3,fdvbjpqhek@outlook.com,Gabor,1,secondary
1,oqocxcpdzp@hotmail.com,Dr. Martens,2,primary
2,oqocxcpdzp@hotmail.com,Skechers,1,secondary
3,oqocxcpdzp@hotmail.com,La Strada,1,secondary
1,zrfonawmvd@hotmail.com,Timberland,1,primary
2,zrfonawmvd@hotmail.com,Skechers,1,secondary
3,zrfonawmvd@hotmail.com,Ecco,1,secondary
1,aidtnrbzrj@hotmail.com,Van Lier,1,primary
2,aidtnrbzrj@hotmail.com,Timberland,1,secondary
3,aidtnrbzrj@hotmail.com,Skechers,1,secondary
1,rdxrvvflum@yahoo.com,Skechers,3,primary
2,rdxrvvflum@yahoo.com,Converse,2,secondary
3,rdxrvvflum@yahoo.com,Timberland,1,secondary
1,qtrigitkcu@yahoo.com,Gabor,1,primary
1,lqxiorbzec@outlook.com,Skechers,2,primary
2,lqxiorbzec@outlook.com,Converse,2,secondary
3,lqxiorbzec@outlook.com,Ara,1,secondary
1,fdnuruvvwv@outlook.com,Dr. Martens,1,primary
2,fdnuruvvwv@outlook.com,Birkenstock,1,secondary
1,igxzgbwmiz@yahoo.com,Converse,2,primary
2,igxzgbwmiz@yahoo.com,La Strada,1,secondary
3,igxzgbwmiz@yahoo.com,Guess,1,secondary
1,ltaxiqqzqf@outlook.com,Skechers,4,primary
2,ltaxiqqzqf@outlook.com,La Strada,1,secondary
3,ltaxiqqzqf@outlook.com,Hugo Boss,1,secondary
1,wdjqonyisj@gmail.com,Timberland,1,primary
2,wdjqonyisj@gmail.com,Maruti,1,secondary
3,wdjqonyisj@gmail.com,Converse,1,secondary
1,peutwudsgz@yahoo.com,Ecco,2,primary
2,peutwudsgz@yahoo.com,Timberland,1,secondary
3,peutwudsgz@yahoo.com,Skechers,1,secondary
1,hzzdlfmmrr@outlook.com,Timberland,1,primary
2,hzzdlfmmrr@outlook.com,Dr. Martens,1,secondary
1,hqwzbgggxy@hotmail.com,Timberland,2,primary
2,hqwzbgggxy@hotmail.com,Ecco,2,secondary
3,hqwzbgggxy@hotmail.com,Dr. Martens,2,secondary
1,xzddnkugqw@outlook.com,Van Lier,1,primary
2,xzddnkugqw@outlook.com,Dr. Martens,1,secondary
3,xzddnkugqw@outlook.com,Converse,1,secondary
1,zgyrwnmeyr@yahoo.com,Timberland,1,primary
2,zgyrwnmeyr@yahoo.com,Skechers,1,secondary
3,zgyrwnmeyr@yahoo.com,Hugo Boss,1,secondary
1,yorkqqoxgw@outlook.com,Dr. Martens,2,primary
2,yorkqqoxgw@outlook.com,Mexx,1,secondary
3,yorkqqoxgw@outlook.com,Cruyff,1,secondary
1,ywpcuibegw@yahoo.com,Timberland,2,primary
2,ywpcuibegw@yahoo.com,Birkenstock,2,secondary
3,ywpcuibegw@yahoo.com,Van Lier,1,secondary
1,tplcoxedfx@outlook.com,Ara,2,primary
2,tplcoxedfx@outlook.com,Timberland,1,secondary
3,tplcoxedfx@outlook.com,Gabor,1,secondary
1,emvivrdqqe@outlook.com,Skechers,1,primary
2,emvivrdqqe@outlook.com,La Strada,1,secondary
1,nidobmdnmo@gmail.com,Ecco,1,primary
2,nidobmdnmo@gmail.com,Ara,1,secondary
1,bwdcsamxlh@gmail.com,Timberland,1,primary
2,bwdcsamxlh@gmail.com,Skechers,1,secondary
3,bwdcsamxlh@gmail.com,Dr. Martens,1,secondary
1,tvfyqjazms@outlook.com,Converse,2,primary
2,tvfyqjazms@outlook.com,Timberland,1,secondary
3,tvfyqjazms@outlook.com,Ecco,1,secondary
1,zewjwckuvw@outlook.com,Skechers,2,primary
2,zewjwckuvw@outlook.com,Ecco,2,secondary
3,zewjwckuvw@outlook.com,Ara,2,secondary
1,pohnlljzvk@yahoo.com,Ara,2,primary
2,pohnlljzvk@yahoo.com,Skechers,1,secondary
3,pohnlljzvk@yahoo.com,Ecco,1,secondary
1,gcbnqnvrnk@hotmail.com,Timberland,1,primary
1,fpsmbgzdqw@gmail.com,Ara,3,primary
2,fpsmbgzdqw@gmail.com,Van Lier,2,secondary
3,fpsmbgzdqw@gmail.com,Skechers,2,secondary
1,fuiscwzmkb@gmail.com,Ara,1,primary
1,ypqjjbjkwg@hotmail.com,Skechers,2,primary
2,ypqjjbjkwg@hotmail.com,Dr. Martens,2,secondary
3,ypqjjbjkwg@hotmail.com,Timberland,1,secondary
1,wbbtprtqsr@outlook.com,Timberland,1,primary
2,wbbtprtqsr@outlook.com,La Strada,1,secondary
3,wbbtprtqsr@outlook.com,Converse,1,secondary
1,clqlbhphir@hotmail.com,La Strada,3,primary
2,clqlbhphir@hotmail.com,Timberland,2,secondary
3,clqlbhphir@hotmail.com,Gabor,2,secondary
1,kvbtonuumy@yahoo.com,Ecco,1,primary
1,akmzarjgiw@gmail.com,Timberland,1,primary
2,akmzarjgiw@gmail.com,Maruti,1,secondary
3,akmzarjgiw@gmail.com,Ara,1,secondary
1,ydmcnmmqkq@gmail.com,Dr. Martens,1,primary
2,ydmcnmmqkq@gmail.com,Converse,1,secondary
1,ypwrtqmclk@yahoo.com,Skechers,2,primary
2,ypwrtqmclk@yahoo.com,Dr. Martens,2,secondary
3,ypwrtqmclk@yahoo.com,Timberland,1,secondary
1,tsbrjuyqwc@gmail.com,Converse,2,primary
2,tsbrjuyqwc@gmail.com,Mexx,1,secondary
3,tsbrjuyqwc@gmail.com,Ecco,1,secondary
1,akxmrzckvd@gmail.com,Gabor,2,primary
2,akxmrzckvd@gmail.com,Van Lier,1,secondary
3,akxmrzckvd@gmail.com,Timberland,1,secondary
1,sfaxsxfftr@outlook.com,Ecco,3,primary
2,sfaxsxfftr@outlook.com,Gabor,2,secondary
3,sfaxsxfftr@outlook.com,Timberland,1,secondary
1,skzutujlym@hotmail.com,Ara,4,primary
2,skzutujlym@hotmail.com,Dr. Martens,2,secondary
3,skzutujlym@hotmail.com,Timberland,1,secondary
1,hjxsataogi@hotmail.com,Dr. Martens,4,primary
2,hjxsataogi@hotmail.com,Converse,3,secondary
3,hjxsataogi@hotmail.com,Skechers,2,secondary
1,nqlaqvpomb@outlook.com,Timberland,4,primary
2,nqlaqvpomb@outlook.com,Ecco,2,secondary
3,nqlaqvpomb@outlook.com,Dr. Martens,2,secondary
1,hyhnxryrhy@gmail.com,Timberland,1,primary
2,hyhnxryrhy@gmail.com,Kipling,1,secondary
3,hyhnxryrhy@gmail.com,Hugo Boss,1,secondary
1,afrcnptnbt@hotmail.com,Timberland,3,primary
2,afrcnptnbt@hotmail.com,Skechers,2,secondary
3,afrcnptnbt@hotmail.com,Birkenstock,2,secondary
1,dpwvcjqxod@gmail.com,Ecco,3,primary
2,dpwvcjqxod@gmail.com,Timberland,1,secondary
3,dpwvcjqxod@gmail.com,Gabor,1,secondary
1,btxtywnsyn@gmail.com,La Strada,1,primary
1,axpumtynni@yahoo.com,Ecco,2,primary
2,axpumtynni@yahoo.com,Gabor,1,secondary
3,axpumtynni@yahoo.com,Dr. Martens,1,secondary
1,kiuidhwnjd@hotmail.com,Ecco,2,primary
2,kiuidhwnjd@hotmail.com,Ara,2,secondary
3,kiuidhwnjd@hotmail.com,Skechers,1,secondary
1,ldwrmtfdtf@hotmail.com,Skechers,2,primary
2,ldwrmtfdtf@hotmail.com,Guess,1,secondary
3,ldwrmtfdtf@hotmail.com,Gabor,1,secondary
1,ssmqffwjse@gmail.com,Skechers,2,primary
2,ssmqffwjse@gmail.com,Ara,2,secondary
3,ssmqffwjse@gmail.com,Maruti,1,secondary
1,kqbjszpfil@gmail.com,Ara,2,primary
2,kqbjszpfil@gmail.com,Guess,1,secondary
3,kqbjszpfil@gmail.com,Dr. Martens,1,secondary
1,benaatsjzf@hotmail.com,Gabor,3,primary
2,benaatsjzf@hotmail.com,Converse,2,secondary
3,benaatsjzf@hotmail.com,Van Lier,1,secondary
1,vkxawczxbc@outlook.com,Skechers,3,primary
2,vkxawczxbc@outlook.com,La Strada,2,secondary
3,vkxawczxbc@outlook.com,Ara,2,secondary
1,zwsslrzefd@yahoo.com,Ara,3,primary
2,zwsslrzefd@yahoo.com,Timberland,2,secondary
3,zwsslrzefd@yahoo.com,Dr. Martens,2,secondary
1,homfzydmda@gmail.com,La Strada,1,primary
2,homfzydmda@gmail.com,Gabor,1,secondary
3,homfzydmda@gmail.com,Ecco,1,secondary
1,cfqetyqqry@yahoo.com,Van Lier,1,primary
2,cfqetyqqry@yahoo.com,Timberland,1,secondary
3,cfqetyqqry@yahoo.com,Skechers,1,secondary
1,cokqlufpij@yahoo.com,Ara,5,primary
2,cokqlufpij@yahoo.com,La Strada,1,secondary
3,cokqlufpij@yahoo.com,Dr. Martens,1,secondary
1,civzhwrcoo@hotmail.com,Converse,1,primary
1,gryspfinly@yahoo.com,Timberland,3,primary
2,gryspfinly@yahoo.com,Hugo Boss,2,secondary
3,gryspfinly@yahoo.com,Ecco,1,secondary
1,ysgwdplzuk@outlook.com,Skechers,2,primary
2,ysgwdplzuk@outlook.com,La Strada,2,secondary
3,ysgwdplzuk@outlook.com,Converse,2,secondary
1,jzfpwimzpf@hotmail.com,Ara,4,primary
2,jzfpwimzpf@hotmail.com,Timberland,2,secondary
3,jzfpwimzpf@hotmail.com,Skechers,2,secondary
1,zijklrmxkj@yahoo.com,Timberland,2,primary
2,zijklrmxkj@yahoo.com,Ara,2,secondary
3,zijklrmxkj@yahoo.com,Skechers,1,secondary
1,gvowbsqcsk@outlook.com,La Strada,1,primary
2,gvowbsqcsk@outlook.com,Ara,1,secondary
1,tononmroxc@hotmail.com,Ara,4,primary
2,tononmroxc@hotmail.com,Timberland,2,secondary
3,tononmroxc@hotmail.com,Van Lier,1,secondary
1,nbycvrtvuw@hotmail.com,Dr. Martens,1,primary
1,xjvtcaarlh@outlook.com,Timberland,2,primary
2,xjvtcaarlh@outlook.com,Skechers,2,secondary
3,xjvtcaarlh@outlook.com,La Strada,1,secondary
1,lvfgclbkcm@yahoo.com,Van Lier,1,primary
2,lvfgclbkcm@yahoo.com,Timberland,1,secondary
3,lvfgclbkcm@yahoo.com,Gabor,1,secondary
1,zkqkyuilvu@outlook.com,Ara,2,primary
2,zkqkyuilvu@outlook.com,Gabor,1,secondary
3,zkqkyuilvu@outlook.com,Ecco,1,secondary
1,bnbopegxnp@hotmail.com,Timberland,2,primary
2,bnbopegxnp@hotmail.com,Ecco,2,secondary
3,bnbopegxnp@hotmail.com,Skechers,1,secondary
